bids,asks
0.00181540,0.00181610
0.00181490,0.00181630
0.00181480,0.00181640
0.00181460,0.00181650
0.00181450,0.00181660
0.00181440,0.00181670
0.00181430,0.00181680
0.00181410,0.00181690
0.00181370,0.00181700
0.00181320,0.00181710
0.00181310,0.00181720
0.00181290,0.00181730
0.00181280,0.00181740
0.00181260,0.00181750
0.00181230,0.00181760
0.00181220,0.00181770
0.00181210,0.00181780
0.00181200,0.00181790
0.00181190,0.00181800
0.00181170,0.00181810
0.00181160,0.00181820
0.00181150,0.00181830
0.00181140,0.00181840
0.00181130,0.00181850
0.00181120,0.00181860
0.00181110,0.00181870
0.00181100,0.00181880
0.00181090,0.00181890
0.00181080,0.00181900
0.00181060,0.00181910
0.00181050,0.00181920
0.00181040,0.00181930
0.00181030,0.00181940
0.00181020,0.00181950
0.00181010,0.00181960
0.00181000,0.00181970
0.00180990,0.00181980
0.00180980,0.00181990
0.00180970,0.00182000
0.00180960,0.00182010
0.00180950,0.00182020
0.00180940,0.00182030
0.00180930,0.00182040
0.00180920,0.00182050
0.00180910,0.00182060
0.00180900,0.00182070
0.00180890,0.00182080
0.00180880,0.00182090
0.00180870,0.00182100
0.00180860,0.00182110
0.00180850,0.00182120
0.00180840,0.00182130
0.00180830,0.00182140
0.00180820,0.00182150
0.00180810,0.00182160
0.00180800,0.00182170
0.00180790,0.00182180
0.00180780,0.00182190
0.00180770,0.00182200
0.00180760,0.00182210
0.00180750,0.00182220
0.00180740,0.00182230
0.00180730,0.00182240
0.00180720,0.00182250
0.00180710,0.00182260
0.00180700,0.00182270
0.00180690,0.00182280
0.00180680,0.00182290
0.00180670,0.00182300
0.00180660,0.00182310
0.00180640,0.00182320
0.00180630,0.00182330
0.00180620,0.00182340
0.00180610,0.00182350
0.00180600,0.00182360
0.00180590,0.00182370
0.00180580,0.00182380
0.00180570,0.00182390
0.00180560,0.00182400
0.00180550,0.00182410
0.00180540,0.00182420
0.00180530,0.00182430
0.00180520,0.00182440
0.00180510,0.00182450
0.00180500,0.00182460
0.00180490,0.00182470
0.00180480,0.00182480
0.00180470,0.00182490
0.00180460,0.00182500
0.00180450,0.00182510
0.00180440,0.00182520
0.00180430,0.00182530
0.00180420,0.00182540
0.00180410,0.00182550
0.00180400,0.00182560
0.00180390,0.00182570
0.00180380,0.00182580
0.00180370,0.00182590
0.00180360,0.00182600
0.00180350,0.00182610
