bids,asks
0.02340200,0.02340400
0.02340000,0.02340500
0.02339800,0.02340700
0.02339700,0.02340800
0.02339600,0.02341000
0.02339500,0.02341100
0.02339400,0.02341500
0.02339300,0.02341600
0.02339200,0.02341700
0.02339100,0.02341800
0.02339000,0.02341900
0.02338900,0.02342000
0.02338800,0.02342100
0.02338700,0.02342200
0.02338600,0.02342300
0.02338500,0.02342400
0.02338400,0.02342500
0.02338100,0.02342700
0.02337900,0.02342800
0.02337800,0.02342900
0.02337600,0.02343000
0.02337500,0.02343100
0.02337200,0.02343200
0.02337000,0.02343300
0.02336900,0.02343400
0.02336800,0.02343500
0.02336700,0.02343600
0.02336500,0.02343700
0.02336400,0.02343800
0.02336300,0.02344000
0.02336200,0.02344200
0.02336100,0.02344300
0.02336000,0.02344400
0.02335900,0.02344500
0.02335800,0.02344600
0.02335600,0.02344800
0.02335200,0.02344900
0.02335000,0.02345000
0.02334900,0.02345100
0.02334700,0.02345200
0.02334600,0.02345300
0.02334500,0.02345400
0.02334400,0.02345500
0.02334300,0.02345600
0.02334200,0.02345700
0.02334100,0.02345800
0.02334000,0.02345900
0.02333900,0.02346000
0.02333800,0.02346100
0.02333700,0.02346200
0.02333600,0.02346300
0.02333500,0.02346400
0.02333400,0.02346500
0.02333300,0.02346600
0.02333200,0.02346700
0.02333100,0.02346800
0.02333000,0.02346900
0.02332900,0.02347000
0.02332800,0.02347100
0.02332700,0.02347200
0.02332600,0.02347300
0.02332500,0.02347400
0.02332400,0.02347500
0.02332300,0.02347600
0.02332200,0.02347800
0.02332100,0.02347900
0.02332000,0.02348000
0.02331900,0.02348100
0.02331800,0.02348400
0.02331700,0.02348500
0.02331600,0.02348600
0.02331500,0.02348700
0.02331400,0.02348900
0.02331300,0.02349000
0.02331200,0.02349100
0.02331100,0.02349200
0.02331000,0.02349300
0.02330900,0.02349400
0.02330800,0.02349500
0.02330700,0.02349600
0.02330600,0.02349700
0.02330500,0.02349800
0.02330400,0.02349900
0.02330300,0.02350000
0.02330200,0.02350100
0.02330100,0.02350200
0.02330000,0.02350300
0.02329900,0.02350400
0.02329800,0.02350500
0.02329700,0.02350600
0.02329600,0.02350700
0.02329500,0.02350800
0.02329400,0.02350900
0.02329300,0.02351000
0.02329200,0.02351100
0.02329100,0.02351200
0.02329000,0.02351300
0.02328900,0.02351400
0.02328800,0.02351500
0.02328700,0.02351600
